zip_code,median_household_income,vehicle_count,P1_001N
98359,82870.0,119.0,5358.0
98360,89732.0,186.0,15332.0
98361,41763.0,26.0,1000.0
98362,53743.0,357.0,23571.0
98363,60147.0,201.0,14086.0
98365,74818.0,196.0,5058.0
98366,70330.0,606.0,36969.0
98367,88722.0,751.0,30981.0
98368,56141.0,723.0,16567.0
98370,85299.0,910.0,32857.0
98371,81699.0,530.0,23965.0
98372,81776.0,477.0,26652.0
98373,79943.0,391.0,28165.0
98374,88882.0,909.0,45367.0
98375,89202.0,457.0,33316.0
98376,67773.0,57.0,2130.0
98377,39229.0,5.0,2103.0
98380,95443.0,115.0,5297.0
98381,80952.0,6.0,318.0
98382,56392.0,711.0,30505.0
98383,88893.0,418.0,21565.0
98385,88625.0,3.0,455.0
98387,80272.0,531.0,51630.0
98388,85083.0,185.0,7096.0
98390,70374.0,252.0,11727.0
98391,104406.0,1696.0,56427.0
98392,69583.0,77.0,3092.0
98394,106190.0,27.0,1194.0
98396,82031.0,5.0,649.0
98402,57083.0,161.0,8053.0
98403,61863.0,190.0,8341.0
98404,57813.0,376.0,35172.0
98405,60255.0,341.0,24617.0
98406,82732.0,500.0,22768.0
98407,86594.0,705.0,21931.0
98408,58961.0,242.0,20566.0
98409,57922.0,357.0,27840.0
98418,60649.0,134.0,10371.0
98422,97106.0,694.0,21343.0
98424,78243.0,211.0,12132.0
98433,44064.0,143.0,20814.0
98439,38415.0,165.0,5474.0
98443,95851.0,93.0,5733.0
98444,52589.0,276.0,36885.0
98445,70241.0,345.0,33927.0
98446,85875.0,182.0,12800.0
98465,59163.0,137.0,7524.0
98466,74179.0,682.0,29769.0
98467,76904.0,383.0,16512.0
98498,72711.0,487.0,29982.0
98499,50037.0,359.0,33188.0
98501,78324.0,2388.0,45274.0
98502,74031.0,1070.0,35698.0
98503,66021.0,732.0,40346.0
98506,76835.0,600.0,19198.0
98512,78845.0,709.0,31422.0
98513,87145.0,760.0,36059.0
98516,83249.0,898.0,29443.0
98520,50022.0,200.0,24086.0
98524,93894.0,89.0,3551.0
98526,55417.0,3.0,276.0
98527,39375.0,1.0,332.0
98528,60415.0,173.0,11052.0
98530,50417.0,4.0,641.0
98531,45972.0,396.0,26669.0
98532,66685.0,266.0,25572.0
98533,53894.0,8.0,558.0
98537,60735.0,20.0,2181.0
98538,52813.0,7.0,425.0
98541,52029.0,80.0,10509.0
98542,53250.0,8.0,668.0
98546,75707.0,77.0,3013.0
98547,42532.0,14.0,1433.0
98548,51198.0,55.0,2375.0
98550,46622.0,68.0,11502.0
98552,48947.0,0.0,196.0
98555,56000.0,11.0,586.0
98557,57589.0,47.0,3695.0
98560,86467.0,0.0,154.0
98563,63328.0,102.0,8235.0
98564,45109.0,33.0,2581.0
98565,58611.0,8.0,448.0
98568,60179.0,27.0,2768.0
98569,47399.0,163.0,6964.0
98570,65161.0,41.0,4489.0
98572,63523.0,3.0,795.0
98575,63958.0,2.0,129.0
98576,69033.0,75.0,5388.0
98577,59603.0,54.0,6708.0
