zip_code,median_household_income,vehicle_count,P1_001N,vehicle_per_person
98236,85943.0,258.0,6157.0,0.04190352444372259
98237,58063.0,46.0,4304.0,0.010687732342007435
98239,71121.0,270.0,7394.0,0.03651609413037598
98240,80474.0,34.0,3118.0,0.010904425914047467
98241,45089.0,14.0,2344.0,0.005972696245733789
98243,72560.0,3.0,340.0,0.008823529411764706
98244,42324.0,58.0,3134.0,0.018506700701978303
98245,55160.0,331.0,4372.0,0.07570905763952425
98247,61213.0,101.0,9067.0,0.01113929634939892
98248,71164.0,444.0,26784.0,0.016577060931899642
98249,76614.0,222.0,5056.0,0.043908227848101264
98250,71567.0,479.0,8632.0,0.055491195551436515
98251,73293.0,81.0,5071.0,0.015973180832183003
98252,84257.0,184.0,10645.0,0.01728511038046031
98253,81165.0,99.0,2037.0,0.048600883652430045
98255,29375.0,2.0,213.0,0.009389671361502348
98257,70278.0,115.0,4467.0,0.02574434743675845
98258,96165.0,1809.0,51995.0,0.03479180690451005
98260,86027.0,299.0,5844.0,0.05116358658453114
98261,63143.0,151.0,2752.0,0.05486918604651163
98262,75294.0,50.0,934.0,0.05353319057815846
98263,97813.0,2.0,186.0,0.010752688172043012
98264,72397.0,294.0,23170.0,0.012688821752265862
98266,35274.0,38.0,4097.0,0.009275079326336344
98270,84957.0,1179.0,51969.0,0.02268660162789355
98271,83047.0,486.0,32068.0,0.015155294998128977
98272,95190.0,982.0,31127.0,0.03154817361133421
98273,64699.0,428.0,31243.0,0.013699068591364466
98274,79127.0,376.0,18949.0,0.019842735764420288
98275,102818.0,937.0,21642.0,0.04329544404398854
98276,73583.0,14.0,1434.0,0.009762900976290097
98277,61373.0,598.0,41517.0,0.014403738227713948
98279,54107.0,47.0,651.0,0.07219662058371736
98280,62500.0,3.0,474.0,0.006329113924050633
98281,52692.0,72.0,1191.0,0.060453400503778336
98282,85811.0,556.0,17356.0,0.032035031113159716
98283,75165.0,2.0,473.0,0.004228329809725159
98284,69994.0,303.0,27293.0,0.011101747700875682
98286,66667.0,16.0,253.0,0.06324110671936758
98288,50625.0,8.0,344.0,0.023255813953488372
98290,104091.0,1119.0,37535.0,0.029812175303050487
98292,84489.0,543.0,24098.0,0.022532990289650594
98294,69458.0,242.0,7494.0,0.03229250066720043
98295,80121.0,18.0,2899.0,0.006209037599172128
98296,143106.0,1377.0,27713.0,0.04968787211777866
98297,31875.0,3.0,142.0,0.02112676056338028
98303,62440.0,48.0,1302.0,0.03686635944700461
98304,55556.0,22.0,810.0,0.027160493827160494
98310,58636.0,313.0,21580.0,0.014504170528266913
98311,80439.0,458.0,28059.0,0.016322748494244272
98312,68195.0,799.0,33405.0,0.02391857506361323
98315,66736.0,26.0,5482.0,0.0047427946005107625
98320,50711.0,28.0,1341.0,0.020879940343027592
98321,102135.0,304.0,16924.0,0.017962656582368234
98323,84038.0,12.0,877.0,0.013683010262257697
98325,49313.0,36.0,1837.0,0.0195971692977681
98326,40753.0,2.0,1374.0,0.001455604075691412
98327,93405.0,237.0,10222.0,0.023185286636666014
98328,90636.0,155.0,10727.0,0.014449519903048382
98329,95769.0,278.0,10960.0,0.025364963503649637
98331,40513.0,20.0,5952.0,0.003360215053763441
98332,102352.0,900.0,20704.0,0.04346986089644513
98333,125547.0,245.0,3921.0,0.06248406018872737
98335,109031.0,1180.0,27307.0,0.04321236313033288
98336,64712.0,6.0,906.0,0.006622516556291391
98337,55433.0,123.0,9653.0,0.012742152698642909
98338,83394.0,434.0,30147.0,0.01439612565097688
98339,53239.0,53.0,3805.0,0.01392904073587385
98340,64750.0,85.0,2707.0,0.03140007388252678
98342,72955.0,61.0,1571.0,0.03882877148313176
98345,47650.0,11.0,576.0,0.019097222222222224
98346,95103.0,321.0,10402.0,0.030859450105748896
98349,73308.0,116.0,5000.0,0.0232
98350,35000.0,0.0,404.0,0.0
98351,51109.0,26.0,1330.0,0.019548872180451128
98354,76582.0,127.0,8264.0,0.01536786060019361
98356,42386.0,20.0,2179.0,0.009178522257916476
98357,48250.0,10.0,1708.0,0.00585480093676815
98358,57083.0,55.0,995.0,0.05527638190954774
98359,82870.0,119.0,5358.0,0.022209779768570363
98360,89732.0,186.0,15332.0,0.012131489694756066
98361,41763.0,26.0,1000.0,0.026
98362,53743.0,357.0,23571.0,0.015145729922362225
98363,60147.0,201.0,14086.0,0.01426948743433196
98365,74818.0,196.0,5058.0,0.0387504942665085
98366,70330.0,606.0,36969.0,0.016392112310314046
98367,88722.0,751.0,30981.0,0.02424066363254898
98368,56141.0,723.0,16567.0,0.04364097301865154
98370,85299.0,910.0,32857.0,0.02769577259031561
98371,81699.0,530.0,23965.0,0.02211558522845817
98372,81776.0,477.0,26652.0,0.017897343538946422
98373,79943.0,391.0,28165.0,0.013882478253151073
98374,88882.0,909.0,45367.0,0.020036590473251483
98375,89202.0,457.0,33316.0,0.013717132909112738
98376,67773.0,57.0,2130.0,0.02676056338028169
98377,39229.0,5.0,2103.0,0.0023775558725630053
98380,95443.0,115.0,5297.0,0.02171040211440438
98381,80952.0,6.0,318.0,0.018867924528301886
98382,56392.0,711.0,30505.0,0.02330765448287166
98383,88893.0,418.0,21565.0,0.019383259911894272
98385,88625.0,3.0,455.0,0.006593406593406593
98387,80272.0,531.0,51630.0,0.010284718187100523
98388,85083.0,185.0,7096.0,0.026071025930101466
98390,70374.0,252.0,11727.0,0.021488871834228703
98391,104406.0,1696.0,56427.0,0.030056533219912453
98392,69583.0,77.0,3092.0,0.024902975420439843
98394,106190.0,27.0,1194.0,0.022613065326633167
98396,82031.0,5.0,649.0,0.007704160246533128
98402,57083.0,161.0,8053.0,0.019992549360486774
98403,61863.0,190.0,8341.0,0.022779043280182234
98404,57813.0,376.0,35172.0,0.01069032184692369
98405,60255.0,341.0,24617.0,0.01385221594832839
98406,82732.0,500.0,22768.0,0.02196064652143359
98407,86594.0,705.0,21931.0,0.032146276959554965
98408,58961.0,242.0,20566.0,0.011766994067879023
98409,57922.0,357.0,27840.0,0.012823275862068965
98418,60649.0,134.0,10371.0,0.012920644103750843
98422,97106.0,694.0,21343.0,0.032516515953708476
98424,78243.0,211.0,12132.0,0.017392021101219915
98433,44064.0,143.0,20814.0,0.006870375708657634
98439,38415.0,165.0,5474.0,0.030142491779320425
98443,95851.0,93.0,5733.0,0.016221873364730507
98444,52589.0,276.0,36885.0,0.007482716551443677
98445,70241.0,345.0,33927.0,0.010168892032894155
98446,85875.0,182.0,12800.0,0.01421875
98465,59163.0,137.0,7524.0,0.018208399787347156
98466,74179.0,682.0,29769.0,0.022909738318384897
98467,76904.0,383.0,16512.0,0.023195251937984496
98498,72711.0,487.0,29982.0,0.01624307918084184
98499,50037.0,359.0,33188.0,0.010817162829938533
98501,78324.0,2388.0,45274.0,0.05274550514644167
98502,74031.0,1070.0,35698.0,0.02997366799260463
98503,66021.0,732.0,40346.0,0.0181430625092946
98506,76835.0,600.0,19198.0,0.03125325554745286
98512,78845.0,709.0,31422.0,0.0225638087963847
98513,87145.0,760.0,36059.0,0.021076568956432513
98516,83249.0,898.0,29443.0,0.030499609414801482
98520,50022.0,200.0,24086.0,0.00830357884248111
98524,93894.0,89.0,3551.0,0.025063362433117433
98526,55417.0,3.0,276.0,0.010869565217391304
98527,39375.0,1.0,332.0,0.0030120481927710845
98528,60415.0,173.0,11052.0,0.015653275425262396
98530,50417.0,4.0,641.0,0.0062402496099844
98531,45972.0,396.0,26669.0,0.014848700738685366
98532,66685.0,266.0,25572.0,0.010402002189895197
98533,53894.0,8.0,558.0,0.014336917562724014
98537,60735.0,20.0,2181.0,0.009170105456212746
98538,52813.0,7.0,425.0,0.01647058823529412
98541,52029.0,80.0,10509.0,0.007612522599676467
98542,53250.0,8.0,668.0,0.011976047904191617
98546,75707.0,77.0,3013.0,0.02555592432791238
98547,42532.0,14.0,1433.0,0.009769713886950453
98548,51198.0,55.0,2375.0,0.023157894736842106
98550,46622.0,68.0,11502.0,0.005912015301686663
98552,48947.0,0.0,196.0,0.0
98555,56000.0,11.0,586.0,0.01877133105802048
98557,57589.0,47.0,3695.0,0.012719891745602166
98560,86467.0,0.0,154.0,0.0
98563,63328.0,102.0,8235.0,0.01238615664845173
98564,45109.0,33.0,2581.0,0.012785741960480435
