GEO_ID,NAME,P1_001N
860Z200US98283,ZCTA5 98283,473
860Z200US98284,ZCTA5 98284,27293
860Z200US98286,ZCTA5 98286,253
860Z200US98288,ZCTA5 98288,344
860Z200US98290,ZCTA5 98290,37535
860Z200US98292,ZCTA5 98292,24098
860Z200US98294,ZCTA5 98294,7494
860Z200US98295,ZCTA5 98295,2899
860Z200US98296,ZCTA5 98296,27713
860Z200US98297,ZCTA5 98297,142
860Z200US98303,ZCTA5 98303,1302
860Z200US98304,ZCTA5 98304,810
860Z200US98305,ZCTA5 98305,481
860Z200US98310,ZCTA5 98310,21580
860Z200US98311,ZCTA5 98311,28059
860Z200US98312,ZCTA5 98312,33405
860Z200US98314,ZCTA5 98314,991
860Z200US98315,ZCTA5 98315,5482
860Z200US98320,ZCTA5 98320,1341
860Z200US98321,ZCTA5 98321,16924
860Z200US98323,ZCTA5 98323,877
860Z200US98325,ZCTA5 98325,1837
860Z200US98326,ZCTA5 98326,1374
860Z200US98327,ZCTA5 98327,10222
860Z200US98328,ZCTA5 98328,10727
860Z200US98329,ZCTA5 98329,10960
860Z200US98330,ZCTA5 98330,76
860Z200US98331,ZCTA5 98331,5952
860Z200US98332,ZCTA5 98332,20704
860Z200US98333,ZCTA5 98333,3921
860Z200US98335,ZCTA5 98335,27307
860Z200US98336,ZCTA5 98336,906
860Z200US98337,ZCTA5 98337,9653
860Z200US98338,ZCTA5 98338,30147
860Z200US98339,ZCTA5 98339,3805
860Z200US98340,ZCTA5 98340,2707
860Z200US98342,ZCTA5 98342,1571
860Z200US98345,ZCTA5 98345,576
860Z200US98346,ZCTA5 98346,10402
860Z200US98349,ZCTA5 98349,5000
860Z200US98350,ZCTA5 98350,404
860Z200US98351,ZCTA5 98351,1330
860Z200US98353,ZCTA5 98353,25
860Z200US98354,ZCTA5 98354,8264
860Z200US98355,ZCTA5 98355,626
860Z200US98356,ZCTA5 98356,2179
860Z200US98357,ZCTA5 98357,1708
860Z200US98358,ZCTA5 98358,995
860Z200US98359,ZCTA5 98359,5358
860Z200US98360,ZCTA5 98360,15332
860Z200US98361,ZCTA5 98361,1000
860Z200US98362,ZCTA5 98362,23571
860Z200US98363,ZCTA5 98363,14086
860Z200US98364,ZCTA5 98364,72
860Z200US98365,ZCTA5 98365,5058
860Z200US98366,ZCTA5 98366,36969
860Z200US98367,ZCTA5 98367,30981
860Z200US98368,ZCTA5 98368,16567
860Z200US98370,ZCTA5 98370,32857
860Z200US98371,ZCTA5 98371,23965
860Z200US98372,ZCTA5 98372,26652
860Z200US98373,ZCTA5 98373,28165
860Z200US98374,ZCTA5 98374,45367
860Z200US98375,ZCTA5 98375,33316
860Z200US98376,ZCTA5 98376,2130
860Z200US98377,ZCTA5 98377,2103
860Z200US98380,ZCTA5 98380,5297
860Z200US98381,ZCTA5 98381,318
860Z200US98382,ZCTA5 98382,30505
860Z200US98383,ZCTA5 98383,21565
860Z200US98385,ZCTA5 98385,455
860Z200US98387,ZCTA5 98387,51630
860Z200US98388,ZCTA5 98388,7096
860Z200US98390,ZCTA5 98390,11727
860Z200US98391,ZCTA5 98391,56427
860Z200US98392,ZCTA5 98392,3092
860Z200US98394,ZCTA5 98394,1194
860Z200US98396,ZCTA5 98396,649
860Z200US98402,ZCTA5 98402,8053
860Z200US98403,ZCTA5 98403,8341
860Z200US98404,ZCTA5 98404,35172
860Z200US98405,ZCTA5 98405,24617
860Z200US98406,ZCTA5 98406,22768
860Z200US98407,ZCTA5 98407,21931
860Z200US98408,ZCTA5 98408,20566
860Z200US98409,ZCTA5 98409,27840
860Z200US98416,ZCTA5 98416,1478
860Z200US98418,ZCTA5 98418,10371
860Z200US98421,ZCTA5 98421,1239
860Z200US98422,ZCTA5 98422,21343
860Z200US98424,ZCTA5 98424,12132
860Z200US98430,ZCTA5 98430,0
860Z200US98433,ZCTA5 98433,20814
860Z200US98438,ZCTA5 98438,582
860Z200US98439,ZCTA5 98439,5474
860Z200US98443,ZCTA5 98443,5733
860Z200US98444,ZCTA5 98444,36885
860Z200US98445,ZCTA5 98445,33927
860Z200US98446,ZCTA5 98446,12800
860Z200US98447,ZCTA5 98447,1053
860Z200US98465,ZCTA5 98465,7524
860Z200US98466,ZCTA5 98466,29769
860Z200US98467,ZCTA5 98467,16512
860Z200US98498,ZCTA5 98498,29982
860Z200US98499,ZCTA5 98499,33188
860Z200US98501,ZCTA5 98501,45274
860Z200US98502,ZCTA5 98502,35698
860Z200US98503,ZCTA5 98503,40346
860Z200US98505,ZCTA5 98505,561
860Z200US98506,ZCTA5 98506,19198
860Z200US98512,ZCTA5 98512,31422
860Z200US98513,ZCTA5 98513,36059
860Z200US98516,ZCTA5 98516,29443
860Z200US98520,ZCTA5 98520,24086
860Z200US98524,ZCTA5 98524,3551
860Z200US98526,ZCTA5 98526,276
860Z200US98527,ZCTA5 98527,332
860Z200US98528,ZCTA5 98528,11052
860Z200US98530,ZCTA5 98530,641
860Z200US98531,ZCTA5 98531,26669
860Z200US98532,ZCTA5 98532,25572
860Z200US98533,ZCTA5 98533,558
860Z200US98535,ZCTA5 98535,529
860Z200US98536,ZCTA5 98536,153
860Z200US98537,ZCTA5 98537,2181
860Z200US98538,ZCTA5 98538,425
860Z200US98539,ZCTA5 98539,164
860Z200US98541,ZCTA5 98541,10509
860Z200US98542,ZCTA5 98542,668
860Z200US98544,ZCTA5 98544,68
860Z200US98546,ZCTA5 98546,3013
860Z200US98547,ZCTA5 98547,1433
860Z200US98548,ZCTA5 98548,2375
860Z200US98550,ZCTA5 98550,11502
860Z200US98552,ZCTA5 98552,196
860Z200US98555,ZCTA5 98555,586
860Z200US98556,ZCTA5 98556,453
860Z200US98557,ZCTA5 98557,3695
860Z200US98558,ZCTA5 98558,134
860Z200US98559,ZCTA5 98559,60
860Z200US98560,ZCTA5 98560,154
860Z200US98562,ZCTA5 98562,174
860Z200US98563,ZCTA5 98563,8235
860Z200US98564,ZCTA5 98564,2581
860Z200US98565,ZCTA5 98565,448
860Z200US98566,ZCTA5 98566,299
860Z200US98568,ZCTA5 98568,2768
860Z200US98569,ZCTA5 98569,6964
860Z200US98570,ZCTA5 98570,4489
860Z200US98571,ZCTA5 98571,483
860Z200US98572,ZCTA5 98572,795
860Z200US98575,ZCTA5 98575,129
860Z200US98576,ZCTA5 98576,5388
860Z200US98577,ZCTA5 98577,6708
860Z200US98579,ZCTA5 98579,13648
860Z200US98580,ZCTA5 98580,12164
860Z200US98581,ZCTA5 98581,421
860Z200US98582,ZCTA5 98582,640
860Z200US98583,ZCTA5 98583,144
860Z200US98584,ZCTA5 98584,39266
860Z200US98585,ZCTA5 98585,826
860Z200US98586,ZCTA5 98586,1981
860Z200US98587,ZCTA5 98587,1186
860Z200US98588,ZCTA5 98588,1970
860Z200US98589,ZCTA5 98589,8091
860Z200US98590,ZCTA5 98590,376
860Z200US98591,ZCTA5 98591,4419
860Z200US98592,ZCTA5 98592,2090
860Z200US98593,ZCTA5 98593,1185
860Z200US98595,ZCTA5 98595,2995
860Z200US98596,ZCTA5 98596,6990
860Z200US98597,ZCTA5 98597,27233
860Z200US98601,ZCTA5 98601,3312
860Z200US98602,ZCTA5 98602,250
860Z200US98603,ZCTA5 98603,1018
860Z200US98604,ZCTA5 98604,38245
860Z200US98605,ZCTA5 98605,1267
860Z200US98606,ZCTA5 98606,9868
860Z200US98607,ZCTA5 98607,35054
860Z200US98609,ZCTA5 98609,65
860Z200US98610,ZCTA5 98610,3017
860Z200US98611,ZCTA5 98611,10165
860Z200US98612,ZCTA5 98612,3032
860Z200US98613,ZCTA5 98613,543
860Z200US98614,ZCTA5 98614,651
860Z200US98616,ZCTA5 98616,200
860Z200US98617,ZCTA5 98617,1183
860Z200US98619,ZCTA5 98619,465
860Z200US98620,ZCTA5 98620,7655
860Z200US98621,ZCTA5 98621,253
860Z200US98623,ZCTA5 98623,41
860Z200US98624,ZCTA5 98624,1305
860Z200US98625,ZCTA5 98625,7413
860Z200US98626,ZCTA5 98626,26291
860Z200US98628,ZCTA5 98628,356
860Z200US98629,ZCTA5 98629,9586
860Z200US98631,ZCTA5 98631,3704
860Z200US98632,ZCTA5 98632,50721
860Z200US98635,ZCTA5 98635,1865
860Z200US98638,ZCTA5 98638,1555
860Z200US98639,ZCTA5 98639,1397
860Z200US98640,ZCTA5 98640,5140
860Z200US98641,ZCTA5 98641,204
860Z200US98642,ZCTA5 98642,23685
860Z200US98643,ZCTA5 98643,403
860Z200US98644,ZCTA5 98644,887
860Z200US98645,ZCTA5 98645,1811
860Z200US98647,ZCTA5 98647,499
860Z200US98648,ZCTA5 98648,3075
860Z200US98649,ZCTA5 98649,1134
860Z200US98650,ZCTA5 98650,1158
860Z200US98651,ZCTA5 98651,872
860Z200US98660,ZCTA5 98660,12735
860Z200US98661,ZCTA5 98661,48983
860Z200US98662,ZCTA5 98662,37134
860Z200US98663,ZCTA5 98663,15188
860Z200US98664,ZCTA5 98664,24120
860Z200US98665,ZCTA5 98665,28780
860Z200US98670,ZCTA5 98670,113
860Z200US98671,ZCTA5 98671,24857
860Z200US98672,ZCTA5 98672,7370
860Z200US98673,ZCTA5 98673,371
860Z200US98674,ZCTA5 98674,14415
860Z200US98675,ZCTA5 98675,7688
860Z200US98682,ZCTA5 98682,65434
860Z200US98683,ZCTA5 98683,33884
860Z200US98684,ZCTA5 98684,33659
860Z200US98685,ZCTA5 98685,29797
860Z200US98686,ZCTA5 98686,21462
860Z200US98801,ZCTA5 98801,44970
860Z200US98802,ZCTA5 98802,32378
860Z200US98811,ZCTA5 98811,76
860Z200US98812,ZCTA5 98812,5161
860Z200US98813,ZCTA5 98813,2769
860Z200US98814,ZCTA5 98814,525
860Z200US98815,ZCTA5 98815,7804
860Z200US98816,ZCTA5 98816,7067
860Z200US98817,ZCTA5 98817,366
860Z200US98819,ZCTA5 98819,280
860Z200US98821,ZCTA5 98821,434
860Z200US98822,ZCTA5 98822,2253
860Z200US98823,ZCTA5 98823,12393
860Z200US98824,ZCTA5 98824,160
860Z200US98826,ZCTA5 98826,7280
860Z200US98827,ZCTA5 98827,337
860Z200US98828,ZCTA5 98828,2419
860Z200US98829,ZCTA5 98829,716
